epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2840.02,1.84071,2.43489,1.84687,0.42027,0.36615,0.27925,0.12729,2.0107,1.72351,1.93542,0.000555402,0.000555402,0.000555402
2,5794.87,1.91773,1.66121,1.86559,0.52835,0.41694,0.38018,0.20487,1.83449,1.4693,1.77913,0.00108415,0.00108415,0.00108415
3,8669.75,1.86579,1.54829,1.82171,0.5451,0.42321,0.40316,0.21287,1.85562,1.41162,1.77643,0.00150917,0.00150917,0.00150917
4,11598.5,1.81161,1.45006,1.75408,0.58899,0.45561,0.44951,0.25267,1.81063,1.31195,1.70187,0.00132685,0.00132685,0.00132685
5,14061.9,1.74495,1.35888,1.69632,0.5992,0.48471,0.49267,0.29373,1.69104,1.19782,1.59943,0.00109683,0.00109683,0.00109683
6,16009.7,1.68035,1.28315,1.6409,0.63515,0.50051,0.5284,0.33127,1.61905,1.11892,1.53746,0.000841835,0.000841835,0.000841835
7,17950.2,1.61987,1.21919,1.58511,0.64933,0.50711,0.55574,0.35536,1.58285,1.05765,1.4914,0.000586845,0.000586845,0.000586845
8,19894.5,1.56728,1.16955,1.54248,0.69519,0.50993,0.57806,0.37194,1.53064,1.02062,1.44993,0.000356815,0.000356815,0.000356815
9,21840.3,1.53758,1.13303,1.51856,0.70675,0.51505,0.59065,0.38716,1.49736,0.9974,1.42084,0.000174262,0.000174262,0.000174262
10,23782.3,1.51084,1.11808,1.50425,0.71014,0.52101,0.59659,0.38805,1.51386,0.98653,1.4209,5.70564e-05,5.70564e-05,5.70564e-05
