epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1372.54,1.90788,1.4163,1.80518,0.5213,0.39297,0.36837,0.19616,1.96042,1.30534,1.83982,0.000555402,0.000555402,0.000555402
2,2706.61,1.90175,1.27888,1.79672,0.54451,0.43928,0.418,0.23474,1.88536,1.18899,1.75964,0.00108415,0.00108415,0.00108415
3,3979.73,1.83906,1.20654,1.74726,0.56884,0.4556,0.4409,0.24952,1.82335,1.08744,1.67077,0.00150917,0.00150917,0.00150917
4,5342.34,1.76978,1.13778,1.68552,0.64168,0.45645,0.4913,0.29254,1.73323,1.03139,1.63774,0.00132685,0.00132685,0.00132685
5,6666.6,1.68185,1.06472,1.62304,0.65172,0.48316,0.52066,0.32295,1.6545,0.95643,1.54709,0.00109683,0.00109683,0.00109683
6,7951.59,1.61152,1.01264,1.58096,0.64824,0.50235,0.54604,0.33751,1.60314,0.91647,1.51818,0.000841835,0.000841835,0.000841835
7,9279.72,1.54716,0.95317,1.53066,0.68677,0.51208,0.58348,0.36901,1.53296,0.84463,1.47015,0.000586845,0.000586845,0.000586845
8,10611.1,1.49165,0.91038,1.49137,0.69335,0.52067,0.60235,0.39282,1.44962,0.81357,1.40934,0.000356815,0.000356815,0.000356815
9,11897.1,1.45053,0.87262,1.4599,0.7093,0.52855,0.61685,0.40382,1.43134,0.79077,1.38861,0.000174262,0.000174262,0.000174262
10,13146.9,1.42849,0.8572,1.44411,0.71622,0.53142,0.62342,0.40545,1.43869,0.77688,1.37917,5.70564e-05,5.70564e-05,5.70564e-05
